month,atoll_code,atoll_label,establishment_type,amount_mvr
2019-07-01,Lh,"Lh. (Lhaviyani)",Guesthouse,643.02
2019-07-01,Male,"Malé City",Hotels,507636.00
2019-07-01,Male,"Malé City",Guesthouse,596300.72
2019-07-01,N,"N. (Noonu)",Resorts,1671369.72
2019-07-01,N,"N. (Noonu)",Guesthouse,2394.60
2019-07-01,R,"R. (Raa)",Resorts,3046932.74
2019-07-01,S,"S. (Addu)",Resorts,359314.38
2019-07-01,S,"S. (Addu)",Hotels,54615.30
2019-07-01,S,"S. (Addu)",Guesthouse,4678.02
2019-07-01,Sh,"Sh. (Shaviyani)",Resorts,193811.52
2019-07-01,Th,"Th. (Thaa)",Resorts,95626.26
2019-07-01,Th,"Th. (Thaa)",Guesthouse,46.08
2019-07-01,V,"V. (Vaavu)",Resorts,791359.92
2019-07-01,V,"V. (Vaavu)",Guesthouse,58147.11
2019-08-01,AA,"AA. (Alif Alif)",Resorts,5540279.46
2019-08-01,AA,"AA. (Alif Alif)",Guesthouse,120725.25
2019-08-01,ADh,"ADh. (Alif Dhaal)",Resorts,11597031.24
2019-08-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,52301.19
2019-08-01,B,"B. (Baa)",Resorts,6607896.89
2019-08-01,B,"B. (Baa)",Hotels,236789.10
2019-08-01,B,"B. (Baa)",Guesthouse,74129.07
2019-08-01,Dh,"Dh. (Dhaalu)",Resorts,3177594.54
2019-08-01,Dh,"Dh. (Dhaalu)",Guesthouse,183.84
2019-08-01,F,"F. (Faafu)",Guesthouse,6806.52
2019-08-01,GA,"GA. (Gaafu Alif)",Resorts,786179.01
2019-08-01,GA,"GA. (Gaafu Alif)",Hotels,111445.20
2019-08-01,GA,"GA. (Gaafu Alif)",Guesthouse,598.05
2019-08-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,1225903.02
2019-08-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,10990.74
2019-08-01,HA,"HA. (Haa Alif)",Resorts,1019270.70
2019-08-01,HA,"HA. (Haa Alif)",Guesthouse,552.60
2019-08-01,HDh,"HDh. (Haa Dhaalu)",Resorts,90573.96
2019-08-01,HDh,"HDh. (Haa Dhaalu)",Hotels,199519.92
2019-08-01,K,"K. (Kaafu)",Resorts,24914667.90
2019-08-01,K,"K. (Kaafu)",Hotels,162808.34
2019-08-01,K,"K. (Kaafu)",Guesthouse,765931.38
2019-08-01,L,"L. (Laamu)",Resorts,480503.52
2019-08-01,L,"L. (Laamu)",Guesthouse,4829.71
2019-08-01,Lh,"Lh. (Lhaviyani)",Resorts,5072897.40
2019-08-01,Lh,"Lh. (Lhaviyani)",Guesthouse,547.92
2019-08-01,M,"M. (Meemu)",Guesthouse,918.00
2019-08-01,Male,"Malé City",Hotels,561788.04
2019-08-01,Male,"Malé City",Guesthouse,803433.91
2019-08-01,N,"N. (Noonu)",Resorts,1795462.50
2019-08-01,N,"N. (Noonu)",Guesthouse,11169.15
2019-08-01,R,"R. (Raa)",Resorts,3769071.88
2019-08-01,S,"S. (Addu)",Resorts,496147.50
2019-08-01,S,"S. (Addu)",Hotels,155280.60
2019-08-01,S,"S. (Addu)",Guesthouse,368.55
2019-08-01,Sh,"Sh. (Shaviyani)",Resorts,273254.40
2019-08-01,Th,"Th. (Thaa)",Resorts,165288.06
2019-08-01,Th,"Th. (Thaa)",Guesthouse,505.23
2019-08-01,V,"V. (Vaavu)",Resorts,783421.20
2019-08-01,V,"V. (Vaavu)",Guesthouse,115929.87
2019-09-01,AA,"AA. (Alif Alif)",Resorts,6252938.82
2019-09-01,AA,"AA. (Alif Alif)",Guesthouse,201783.87
2019-09-01,ADh,"ADh. (Alif Dhaal)",Resorts,8873207.32
2019-09-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,132920.01
2019-09-01,B,"B. (Baa)",Resorts,5598488.46
2019-09-01,B,"B. (Baa)",Hotels,307337.70
2019-09-01,B,"B. (Baa)",Guesthouse,110077.02
2019-09-01,Dh,"Dh. (Dhaalu)",Resorts,3248273.28
