month,atoll_code,atoll_label,establishment_type,usd_amount,mvr_amount
2019-07-01,HA,"HA. (Haa Alif)",Resorts,43836.00,672017.46
2019-07-01,HA,"HA. (Haa Alif)",Guesthouse,54.00,827.82
2019-07-01,HDh,"HDh. (Haa Dhaalu)",Resorts,1110.00,17027.40
2019-07-01,HDh,"HDh. (Haa Dhaalu)",Hotels,5832.00,89521.20
2019-07-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,195.00,2993.25
2019-07-01,K,"K. (Kaafu)",Resorts,1227164.00,18822638.28
2019-07-01,K,"K. (Kaafu)",Hotels,10326.00,158607.36
2019-07-01,K,"K. (Kaafu)",Guesthouse,43197.00,662046.53
2019-07-01,L,"L. (Laamu)",Resorts,17334.00,265383.54
2019-07-01,L,"L. (Laamu)",Guesthouse,417.00,6398.01
2019-07-01,Lh,"Lh. (Lhaviyani)",Resorts,254592.00,3905857.02
2019-07-01,Lh,"Lh. (Lhaviyani)",Guesthouse,42.00,643.02
2019-07-01,Male,"Malé City",Hotels,33096.00,507636.00
2019-07-01,Male,"Malé City",Guesthouse,38900.00,596300.72
2019-07-01,N,"N. (Noonu)",Resorts,109074.00,1671369.72
2019-07-01,N,"N. (Noonu)",Guesthouse,156.00,2394.60
2019-07-01,R,"R. (Raa)",Resorts,198964.00,3046932.74
2019-07-01,S,"S. (Addu)",Resorts,23454.00,359314.38
2019-07-01,S,"S. (Addu)",Hotels,3558.00,54615.30
2019-07-01,S,"S. (Addu)",Guesthouse,306.00,4678.02
2019-07-01,Sh,"Sh. (Shaviyani)",Resorts,12684.00,193811.52
2019-07-01,Th,"Th. (Thaa)",Resorts,6246.00,95626.26
2019-07-01,Th,"Th. (Thaa)",Guesthouse,3.00,46.08
2019-07-01,V,"V. (Vaavu)",Resorts,51588.00,791359.92
2019-07-01,V,"V. (Vaavu)",Guesthouse,3792.00,58147.11
2019-08-01,AA,"AA. (Alif Alif)",Resorts,361384.00,5540279.46
2019-08-01,AA,"AA. (Alif Alif)",Guesthouse,7884.00,120725.25
2019-08-01,ADh,"ADh. (Alif Dhaal)",Resorts,756426.00,11597031.24
2019-08-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,3417.00,52301.19
2019-08-01,B,"B. (Baa)",Resorts,431123.00,6607896.89
2019-08-01,B,"B. (Baa)",Hotels,15426.00,236789.10
2019-08-01,B,"B. (Baa)",Guesthouse,4842.00,74129.07
2019-08-01,Dh,"Dh. (Dhaalu)",Resorts,207138.00,3177594.54
2019-08-01,Dh,"Dh. (Dhaalu)",Guesthouse,12.00,183.84
2019-08-01,F,"F. (Faafu)",Guesthouse,444.00,6806.52
2019-08-01,GA,"GA. (Gaafu Alif)",Resorts,51401.00,786179.01
2019-08-01,GA,"GA. (Gaafu Alif)",Hotels,7284.00,111445.20
2019-08-01,GA,"GA. (Gaafu Alif)",Guesthouse,39.00,598.05
2019-08-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,80022.00,1225903.02
2019-08-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,717.00,10990.74
2019-08-01,HA,"HA. (Haa Alif)",Resorts,66402.00,1019270.70
2019-08-01,HA,"HA. (Haa Alif)",Guesthouse,36.00,552.60
2019-08-01,HDh,"HDh. (Haa Dhaalu)",Resorts,5916.00,90573.96
2019-08-01,HDh,"HDh. (Haa Dhaalu)",Hotels,13032.00,199519.92
2019-08-01,K,"K. (Kaafu)",Resorts,1626900.00,24914667.90
2019-08-01,K,"K. (Kaafu)",Hotels,10697.00,162808.34
2019-08-01,K,"K. (Kaafu)",Guesthouse,49962.00,765931.38
2019-08-01,L,"L. (Laamu)",Resorts,31344.00,480503.52
2019-08-01,L,"L. (Laamu)",Guesthouse,315.00,4829.71
2019-08-01,Lh,"Lh. (Lhaviyani)",Resorts,331230.00,5072897.40
2019-08-01,Lh,"Lh. (Lhaviyani)",Guesthouse,36.00,547.92
2019-08-01,M,"M. (Meemu)",Guesthouse,60.00,918.00
2019-08-01,Male,"Malé City",Hotels,36636.00,561788.04
2019-08-01,Male,"Malé City",Guesthouse,52464.00,803433.91
2019-08-01,N,"N. (Noonu)",Resorts,117174.00,1795462.50
2019-08-01,N,"N. (Noonu)",Guesthouse,729.00,11169.15
2019-08-01,R,"R. (Raa)",Resorts,246149.00,3769071.88
2019-08-01,S,"S. (Addu)",Resorts,32358.00,496147.50
2019-08-01,S,"S. (Addu)",Hotels,10116.00,155280.60
2019-08-01,S,"S. (Addu)",Guesthouse,24.00,368.55
2019-08-01,Sh,"Sh. (Shaviyani)",Resorts,17790.00,273254.40
2019-08-01,Th,"Th. (Thaa)",Resorts,10782.00,165288.06
2019-08-01,Th,"Th. (Thaa)",Guesthouse,33.00,505.23
2019-08-01,V,"V. (Vaavu)",Resorts,51204.00,783421.20
2019-08-01,V,"V. (Vaavu)",Guesthouse,7572.00,115929.87
2019-09-01,AA,"AA. (Alif Alif)",Resorts,407652.00,6252938.82
2019-09-01,AA,"AA. (Alif Alif)",Guesthouse,13158.00,201783.87
2019-09-01,ADh,"ADh. (Alif Dhaal)",Resorts,578493.00,8873207.32
2019-09-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,8667.00,132920.01
2019-09-01,B,"B. (Baa)",Resorts,364956.00,5598488.46
2019-09-01,B,"B. (Baa)",Hotels,20022.00,307337.70
2019-09-01,B,"B. (Baa)",Guesthouse,7179.00,110077.02
2019-09-01,Dh,"Dh. (Dhaalu)",Resorts,211692.00,3248273.28
2019-09-01,Dh,"Dh. (Dhaalu)",Guesthouse,66.00,1010.46
2019-09-01,F,"F. (Faafu)",Guesthouse,1239.00,18994.80
2019-09-01,GA,"GA. (Gaafu Alif)",Resorts,75366.00,1156715.10
2019-09-01,GA,"GA. (Gaafu Alif)",Hotels,17028.00,261379.80
2019-09-01,GA,"GA. (Gaafu Alif)",Guesthouse,261.00,4006.35
2019-09-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,109590.00,1680357.00
2019-09-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,42.00,644.28
2019-09-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,735.00,11287.26
2019-09-01,HA,"HA. (Haa Alif)",Resorts,76554.00,1174655.58
2019-09-01,HA,"HA. (Haa Alif)",Guesthouse,522.00,8012.70
2019-09-01,HDh,"HDh. (Haa Dhaalu)",Resorts,7992.00,122677.20
2019-09-01,HDh,"HDh. (Haa Dhaalu)",Hotels,16122.00,247472.70
2019-09-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,63.00,967.05
2019-09-01,K,"K. (Kaafu)",Resorts,1544220.00,23697244.56
2019-09-01,K,"K. (Kaafu)",Hotels,11352.00,174253.20
2019-09-01,K,"K. (Kaafu)",Guesthouse,57270.00,878915.26
2019-09-01,L,"L. (Laamu)",Resorts,34338.00,526401.54
2019-09-01,L,"L. (Laamu)",Guesthouse,195.00,2986.77
2019-09-01,Lh,"Lh. (Lhaviyani)",Resorts,371880.00,5710395.18
2019-09-01,Lh,"Lh. (Lhaviyani)",Guesthouse,24.00,367.68
2019-09-01,M,"M. (Meemu)",Guesthouse,108.00,1657.80
2019-09-01,Male,"Malé City",Hotels,39006.00,598742.10
2019-09-01,Male,"Malé City",Guesthouse,48233.00,740032.21
2019-09-01,N,"N. (Noonu)",Resorts,256032.00,3928838.58
2019-09-01,N,"N. (Noonu)",Guesthouse,234.00,3584.88
2019-09-01,R,"R. (Raa)",Resorts,287364.00,4407698.28
2019-09-01,S,"S. (Addu)",Resorts,50022.00,767586.06
2019-09-01,S,"S. (Addu)",Hotels,5130.00,78745.50
2019-09-01,S,"S. (Addu)",Guesthouse,585.00,8931.15
2019-09-01,Sh,"Sh. (Shaviyani)",Resorts,21450.00,329257.50
2019-09-01,Th,"Th. (Thaa)",Resorts,10848.00,166408.32
